,Fecha_Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
0,2004-01-01,Parking,Alquiler,Lleida,291,2133903,2004-06-19 00:00:00,Carmen
1,2004-01-01,Local,Venta,Girona,185,1945424,2004-04-19 00:00:00,Pedro
2,2004-01-01,Oficina,Alquiler,Girona,82,,2004-11-08 00:00:00,Joaquín
7,2004-01-03,Oficina,Venta,Girona,235,2158475,2004-10-31 00:00:00,Jesús
8,2004-01-04,Piso,Alquiler,Lleida,108,1024380,2004-12-28 00:00:00,Jesús
9,2004-01-04,Parking,Venta,Lleida,299,2042768,2004-10-06 00:00:00,Joaquín
11,2004-01-04,Industrial,Venta,Girona,187,999328,2004-04-05 00:00:00,Carmen
12,2004-01-04,Parking,Venta,Barcelona,,2937300,2004-11-04 00:00:00,Jesús
13,2004-01-04,Local,Venta,Tarragona,68,664700,2004-10-01 00:00:00,Carmen
15,2004-01-05,Casa,Alquiler,Girona,179,937960,2004-11-21 00:00:00,Carmen
17,2004-01-06,Suelo,Venta,Barcelona,283,1679605,2004-06-06 00:00:00,Carmen
19,2004-01-08,Oficina,Alquiler,Barcelona,148,1169496,2004-08-19 00:00:00,María
20,2004-01-09,Industrial,Venta,Barcelona,228,2020992,2004-06-12 00:00:00,Carmen
22,2004-01-10,Casa,Alquiler,Girona,183,1438929,2004-04-21 00:00:00,Luisa
23,2004-01-10,Oficina,Alquiler,Tarragona,79,427390,2004-12-01 00:00:00,Joaquín
24,2004-01-10,Oficina,Alquiler,Barcelona,124,1170684,2004-05-23 00:00:00,Jesús
27,2004-01-12,Casa,Alquiler,Barcelona,187,1660560,2004-06-16 00:00:00,Joaquín
29,2004-01-12,Local,Alquiler,Tarragona,201,939072,2004-08-04 00:00:00,Carmen
30,2004-01-13,Industrial,Alquiler,Barcelona,142,1405374,2004-09-24 00:00:00,Jesús
32,2004-01-15,Local,Alquiler,Barcelona,181,1504110,2004-07-03 00:00:00,María
33,2004-01-15,Casa,Venta,Barcelona,281,2483197,2004-11-01 00:00:00,María
34,2004-01-15,Industrial,Alquiler,Tarragona,257,1799771,2004-12-31 00:00:00,Luisa
35,2004-01-16,Industrial,Alquiler,Tarragona,140,1054340,2004-12-02 00:00:00,Luisa
36,2004-01-16,Local,Venta,Girona,229,1160572,2004-07-09 00:00:00,Pedro
37,2004-01-17,Suelo,Alquiler,Tarragona,300,1492800,2004-12-08 00:00:00,Joaquín
38,2004-01-18,Parking,Alquiler,Tarragona,215,1154980,2005-01-14 00:00:00,Joaquín
39,2004-01-18,Oficina,Venta,Girona,182,1057784,2004-07-22 00:00:00,Jesús
40,2004-01-18,Piso,Venta,Barcelona,230,1421860,2004-09-23 00:00:00,Jesús
41,2004-01-19,Oficina,Venta,Tarragona,168,1426992,2004-11-20 00:00:00,Jesús
43,2004-01-19,Casa,Venta,Girona,278,1537062,2004-12-16 00:00:00,María
44,2004-01-20,Oficina,Alquiler,Barcelona,287,2851058,2005-01-02 00:00:00,Joaquín
45,2004-01-20,Oficina,Alquiler,Lleida,224,1294048,2004-10-29 00:00:00,Carmen
47,2004-01-20,Industrial,Venta,Barcelona,284,1457488,2004-07-06 00:00:00,Jesús
49,2004-01-20,Local,Alquiler,Tarragona,235,957625,2004-11-13 00:00:00,Carmen
50,2004-01-20,Industrial,Venta,Lleida,90,568620,2004-12-14 00:00:00,Joaquín
51,2004-01-22,Local,Alquiler,Lleida,206,1605564,2004-09-26 00:00:00,María
